video_uid,path,duration_sec,scenarios,split_em,split_av,split_fho,benchmarks,origin_video_id,video_source,device,deid_scrubbed_audio,deid_scrubbed_faces,physical_setting_name,fb_participant_id,display_resolution_width,display_resolution_height,sample_resolution_width,sample_resolution_height,release_1,canonical_s3_location,canonical_fps,canonical_display_width,canonical_display_height,canonical_num_frames,canonical_mp4_duration_sec,canonical_video_start_sec,canonical_video_duration_sec,canonical_audio_start_sec,canonical_audio_duration_sec,canonical_video_start_pts,canonical_video_duration_pts,canonical_video_base_numerator,canonical_video_base_denominator,canonical_audio_start_pts,canonical_audio_duration_pts,canonical_audio_base_numerator,canonical_audio_base_denominator,canonical_audio_channel_layout,canonical_audio_channel_rate_hz,canonical_is_validated,Case
77cc4654-4eec-44c6-af05-dbdf71f9a401,s3://ego4d-minnesota/public/v1/full_scale/77cc4654-4eec-44c6-af05-dbdf71f9a401,1247.13,"['Car - commuting, road trip', 'Talking with family members']",,,,[],subject00005_video00010,minnesota,Zshade,FALSE,FALSE,,140,1920,1080,1920,1080,TRUE,s3://ego4d-minnesota/public/v1/full_scale/77cc4654-4eec-44c6-af05-dbdf71f9a401,30,1920,1080,37414,1247.13,0,1247.13,,,0,19155968,1,15360,,,,,,,TRUE,1
f7148e30-2ded-4d14-a8bb-f50813da26df,s3://ego4d-minnesota/public/v1/full_scale/f7148e30-2ded-4d14-a8bb-f50813da26df,1507.7,"['Car - commuting, road trip']",,,,[],subject00013_video00050,minnesota,Zshade,FALSE,FALSE,,254,1920,1080,1920,1080,TRUE,s3://ego4d-minnesota/public/v1/full_scale/f7148e30-2ded-4d14-a8bb-f50813da26df,30,1920,1080,45231,1507.7,0,1507.7,,,0,23158272,1,15360,,,,,,,TRUE,1
2cddb76f-24d1-4863-bd91-9a5d1922a543,s3://ego4d-minnesota/public/v1/full_scale/2cddb76f-24d1-4863-bd91-9a5d1922a543,1884.4,['Outdoor social (includes campfire)'],train,,,[EM],subject00002_video00143,minnesota,Zshade,FALSE,FALSE,,137,1920,1080,1920,1080,TRUE,s3://ego4d-minnesota/public/v1/full_scale/2cddb76f-24d1-4863-bd91-9a5d1922a543,30,1920,1080,56532,1884.4,0,1884.4,,,0,28944384,1,15360,,,,,,,TRUE,1
e3ee87c2-0e48-49cd-93e3-1e39e61a8543,s3://ego4d-minnesota/public/v1/full_scale/e3ee87c2-0e48-49cd-93e3-1e39e61a8543,1800,['Playing games / video games'],,,,[],subject00018_video00003,minnesota,Zshade,TRUE,FALSE,,135,1920,1080,1920,1080,TRUE,s3://ego4d-minnesota/public/v1/full_scale/e3ee87c2-0e48-49cd-93e3-1e39e61a8543,30,1920,1080,54000,1800.03,0.0320312,1800,0,1800.03,492,27648000,1,15360,0,57601024,1,32000,mono,32000,TRUE,1
0235dafb-ec68-4177-8aff-e36d6c63742d,s3://ego4d-minnesota/public/v1/full_scale/0235dafb-ec68-4177-8aff-e36d6c63742d,83.77,"['Playing with pets', 'Walking the dog / pet']",,,,[],subject00002_video00167,minnesota,Zshade,FALSE,FALSE,,137,1920,1080,1920,1080,TRUE,s3://ego4d-minnesota/public/v1/full_scale/0235dafb-ec68-4177-8aff-e36d6c63742d,30,1920,1080,2513,83.77,0,83.7667,,,0,1286656,1,15360,,,,,,,TRUE,1
a8238ec0-a8d8-4b2e-8d92-d161bb6dcdca,s3://ego4d-minnesota/public/v1/full_scale/a8238ec0-a8d8-4b2e-8d92-d161bb6dcdca,1503.97,"['Camp setup/pack-up/chores', 'Cleaning / laundry', 'Gardening', 'On a screen (phone/laptop)']",,,,[],subject00016_video00024,minnesota,Zshade,FALSE,FALSE,,704,1920,1080,1920,1080,TRUE,s3://ego4d-minnesota/public/v1/full_scale/a8238ec0-a8d8-4b2e-8d92-d161bb6dcdca,30,1920,1080,45119,1503.97,0,1503.97,,,0,23100928,1,15360,,,,,,,TRUE,1
ba01d474-f7dd-48f1-863d-80dcf1a60ea4,s3://ego4d-minnesota/public/v1/full_scale/ba01d474-f7dd-48f1-863d-80dcf1a60ea4,1800.31,"['Grocery shopping indoors', 'Walking on street']",test,test,,[EM|AV],subject00032_video00005,minnesota,Zshade,TRUE,FALSE,,259,1920,1080,1920,1080,TRUE,s3://ego4d-minnesota/public/v1/full_scale/ba01d474-f7dd-48f1-863d-80dcf1a60ea4,30,1920,1080,54004,1800.13,0.0320312,1800.13,0,1800.06,492,27650048,1,15360,0,57602048,1,32000,mono,32000,TRUE,1
e4475271-ea33-4f82-9768-355b226c50ca,s3://ego4d-minnesota/public/v1/full_scale/e4475271-ea33-4f82-9768-355b226c50ca,1800,"['Cleaning / laundry', 'Talking with family members']",train,,,[EM],subject00005_video00027,minnesota,Zshade,FALSE,FALSE,,140,1920,1080,1920,1080,TRUE,s3://ego4d-minnesota/public/v1/full_scale/e4475271-ea33-4f82-9768-355b226c50ca,30,1920,1080,54000,1800,0,1800,,,0,27648000,1,15360,,,,,,,TRUE,1
a95545b6-8b1e-4d77-a209-c1accf3b057b,s3://ego4d-minnesota/public/v1/full_scale/a95545b6-8b1e-4d77-a209-c1accf3b057b,1500.12,"['Cleaning / laundry', 'Eating']",,,,[],subject00037_video00008,minnesota,Zshade,TRUE,FALSE,,696,1920,1080,1920,1080,TRUE,s3://ego4d-minnesota/public/v1/full_scale/a95545b6-8b1e-4d77-a209-c1accf3b057b,30,1920,1080,45000,1500.03,0.0320312,1500,0,1500.03,492,23040000,1,15360,0,48001024,1,32000,mono,32000,TRUE,1
f05e4680-0ef5-453e-a096-4f9318df00ae,s3://ego4d-minnesota/public/v1/full_scale/f05e4680-0ef5-453e-a096-4f9318df00ae,1800.13,['Doing yardwork / shoveling snow'],,,,[],subject00016_video00037,minnesota,Zshade,FALSE,FALSE,,704,1920,1080,1920,1080,TRUE,s3://ego4d-minnesota/public/v1/full_scale/f05e4680-0ef5-453e-a096-4f9318df00ae,30,1920,1080,54004,1800.13,0,1800.13,,,0,27650048,1,15360,,,,,,,TRUE,1
343f8d57-6331-40f3-823c-2aee4d5cc10f,s3://ego4d-minnesota/public/v1/full_scale/343f8d57-6331-40f3-823c-2aee4d5cc10f,1800.17,['Fixing something in the home'],,,,[],subject00041_video00024,minnesota,Zshade,TRUE,FALSE,,701,1920,1080,1920,1080,TRUE,s3://ego4d-minnesota/public/v1/full_scale/343f8d57-6331-40f3-823c-2aee4d5cc10f,30,1920,1080,54005,1800.17,0.0320312,1800.17,0,1800.06,492,27650560,1,15360,0,57602048,1,32000,mono,32000,TRUE,1
95673c4c-9c12-4eba-949b-9bd7a29d299d,s3://ego4d-minnesota/public/v1/full_scale/95673c4c-9c12-4eba-949b-9bd7a29d299d,163.4,"['Cleaning / laundry', 'On a screen (phone/laptop)']",,,,[],subject00013_video00016,minnesota,Zshade,FALSE,FALSE,,254,1920,1080,1920,1080,TRUE,s3://ego4d-minnesota/public/v1/full_scale/95673c4c-9c12-4eba-949b-9bd7a29d299d,30,1920,1080,4902,163.4,0,163.4,,,0,2509824,1,15360,,,,,,,TRUE,1
