id,case,start_datetime,end_datetime,event
0,01,2018-03-11T08:25:46,2018-03-11T08:42:18,Kitchen
1,01,2018-03-11T08:43:22,2018-03-11T08:52:07,Restaurant/Bar
2,01,2018-03-11T08:52:39,2018-03-11T08:53:11,Kitchen
3,01,2018-03-11T08:53:43,2018-03-11T08:53:43,Livingroom
4,01,2018-03-11T08:54:15,2018-03-11T08:55:51,Kitchen
5,01,2018-03-11T08:56:23,2018-03-11T08:58:31,Balcony
6,01,2018-03-11T08:59:03,2018-03-11T09:36:46,Livingroom
7,01,2018-03-11T12:00:06,2018-03-11T12:37:22,Office
8,01,2018-03-11T12:37:54,2018-03-11T12:43:59,Kitchen
9,01,2018-03-11T12:44:31,2018-03-11T12:53:03,Restaurant/Bar
10,01,2018-03-11T12:53:35,2018-03-11T12:54:39,Kitchen
11,01,2018-03-11T12:55:43,2018-03-11T12:56:47,Balcony
12,01,2018-03-11T12:57:19,2018-03-11T12:57:19,Livingroom
13,01,2018-03-11T12:57:51,2018-03-11T12:59:59,Kitchen
14,01,2018-03-11T13:01:16,2018-03-11T13:01:16,Livingroom
15,01,2018-03-11T13:04:45,2018-03-11T13:04:45,Otherrooms
16,01,2018-03-11T13:05:17,2018-03-11T13:11:41,Pathways
17,01,2018-03-11T13:12:13,2018-03-11T13:13:17,Others
18,01,2018-03-11T13:13:49,2018-03-11T13:18:37,Pathways
19,01,2018-03-11T13:19:09,2018-03-11T13:19:09,Forest/field/jungle
20,01,2018-03-11T13:19:41,2018-03-11T13:19:41,Pathways
21,01,2018-03-11T13:20:13,2018-03-11T13:20:45,Otherrooms
22,01,2018-03-11T13:21:30,2018-03-11T13:21:30,Kitchen
23,01,2018-03-11T15:22:37,2018-03-11T15:22:37,Balcony
24,01,2018-03-11T15:23:22,2018-03-11T15:23:22,Livingroom
25,01,2018-03-11T15:23:54,2018-03-11T15:23:54,Balcony
26,01,2018-03-11T15:24:26,2018-03-11T15:25:30,Livingroom
27,01,2018-03-11T15:26:02,2018-03-11T15:26:34,Otherrooms
28,01,2018-03-11T15:27:06,2018-03-11T15:27:06,Pathways
29,01,2018-03-11T15:27:38,2018-03-11T15:27:38,Others
30,01,2018-03-11T15:28:10,2018-03-11T15:43:06,Pathways
31,01,2018-03-11T15:43:51,2018-03-11T15:58:16,Transportation
32,01,2018-03-11T15:58:48,2018-03-11T16:06:29,Pathways
33,01,2018-03-11T16:07:01,2018-03-11T16:12:21,Garden
34,01,2018-03-11T16:12:53,2018-03-11T16:15:01,Pathways
35,01,2018-03-11T16:15:33,2018-03-11T16:22:29,Garden
36,01,2018-03-11T16:23:01,2018-03-11T16:23:01,Pathways
37,01,2018-03-11T16:23:33,2018-03-11T16:35:30,Forest/field/jungle
38,01,2018-03-11T16:36:02,2018-03-11T16:36:02,Pathways
39,01,2018-03-11T16:36:34,2018-03-11T16:49:03,Forest/field/jungle
40,01,2018-03-11T16:49:35,2018-03-11T16:49:35,Others
41,01,2018-03-11T16:50:06,2018-03-11T16:50:39,Mountains/hills/desert/sky
42,01,2018-03-11T16:51:11,2018-03-11T16:51:43,Others
